date,yield_pct
2006-03-01,3.5
2006-03-02,3.51
2006-03-03,3.5
2006-03-06,3.54
2006-03-07,3.52
2006-03-08,3.48
2006-03-09,3.48
2006-03-10,3.48
2006-03-13,3.48
2006-03-14,3.49
2006-03-15,3.5
2006-03-16,3.51
2006-03-17,3.5
2006-03-20,3.52
2006-03-21,3.51
2006-03-22,3.52
2006-03-23,3.53
2006-03-24,3.52
2006-03-27,3.52
2006-03-28,3.52
2006-03-29,3.5
2006-03-30,3.5
2006-03-31,3.5
2006-04-03,3.52
2006-04-04,3.53
2006-04-05,3.51
2006-04-06,3.5
2006-04-07,3.5
2006-04-10,3.51
2006-04-11,3.53
2006-04-12,3.5483
2006-04-13,3.55
2006-04-14,3.55
2006-04-17,3.58
2006-04-18,3.602
2006-04-19,3.602
2006-04-20,3.6
2006-04-21,3.6
2006-04-24,3.6
2006-04-25,3.65
2006-04-26,3.65
2006-04-27,3.6
2006-04-28,3.6
2006-04-29,3.6
2006-04-30,3.6
2006-05-08,3.6
2006-05-09,3.58
2006-05-10,3.6
2006-05-11,3.55
2006-05-12,3.575
2006-05-15,3.6
2006-05-16,3.62
2006-05-17,3.6
2006-05-18,3.6
2006-05-19,3.62
2006-05-22,3.62
2006-05-23,3.65
2006-05-24,3.62
2006-05-25,3.6
2006-05-26,3.596
2006-05-29,3.63
2006-05-30,3.63
2006-05-31,3.62
2006-06-01,3.63
2006-06-02,3.65
2006-06-05,3.66
2006-06-06,3.67
2006-06-07,3.681
2006-06-08,3.65
2006-06-09,3.65
2006-06-12,3.65
2006-06-13,3.7
2006-06-14,3.7
2006-06-15,3.72
2006-06-16,3.7
2006-06-19,3.72
2006-06-20,3.7
2006-06-21,3.73
2006-06-22,3.75
2006-06-23,3.75
2006-06-26,3.78
2006-06-27,3.8
2006-06-28,3.81
2006-06-29,3.8
2006-06-30,3.8
2006-07-03,3.8
2006-07-04,3.81
2006-07-05,3.81
2006-07-06,3.81
2006-07-07,3.81
2006-07-10,3.8
2006-07-11,3.76
2006-07-12,3.85
2006-07-13,3.875
2006-07-14,3.88
2006-07-17,3.8
2006-07-18,3.8
2006-07-19,3.81
2006-07-20,3.83
2006-07-21,3.84
2006-07-24,3.85
2006-07-25,3.86
2006-07-26,3.87
2006-07-27,3.85
2006-07-28,3.86
2006-07-31,3.88
2006-08-01,3.86
2006-08-02,3.86
2006-08-03,3.86
2006-08-04,3.86
2006-08-07,3.86
2006-08-08,3.86
2006-08-09,3.86
2006-08-10,3.86
2006-08-11,3.86
2006-08-14,3.855
2006-08-15,3.853
2006-08-16,3.885
2006-08-17,3.865
2006-08-18,3.86
2006-08-21,3.895
2006-08-22,3.886
2006-08-23,3.878
2006-08-24,3.872
2006-08-25,3.865
2006-08-28,3.86
2006-08-29,3.855
2006-08-30,3.85
2006-08-31,3.845
2006-09-01,3.845
2006-09-04,3.845
2006-09-05,3.845
2006-09-06,3.84
2006-09-07,3.835
2006-09-08,3.83
2006-09-11,3.815
2006-09-12,3.8
2006-09-13,3.805
2006-09-14,3.8
2006-09-15,3.8
2006-09-18,3.8
2006-09-19,3.785
2006-09-20,3.77
2006-09-21,3.77
2006-09-22,3.72
2006-09-25,3.7
2006-09-26,3.7
2006-09-27,3.7
2006-09-28,3.7
2006-09-29,3.7
2006-09-30,3.7
2006-10-08,3.67
2006-10-09,3.65
2006-10-10,3.63
2006-10-11,3.61
2006-10-12,3.6
2006-10-13,3.58
2006-10-16,3.53
2006-10-17,3.52
2006-10-18,3.52
2006-10-19,3.52
2006-10-20,3.52
2006-10-23,3.52
2006-10-24,3.53
2006-10-25,3.53
2006-10-26,3.53
2006-10-27,3.51
2006-10-30,3.5
2006-10-31,3.5
2006-11-01,3.5
2006-11-02,3.5
2006-11-03,3.51
2006-11-06,3.52
2006-11-07,3.52
2006-11-08,3.52
2006-11-09,3.52
2006-11-10,3.52
2006-11-13,3.52
2006-11-14,3.529
2006-11-15,3.53
2006-11-16,3.53
2006-11-17,3.54
2006-11-20,3.55
2006-11-21,3.55
2006-11-22,3.55
2006-11-23,3.55
2006-11-24,3.55
2006-11-27,3.55
2006-11-28,3.55
2006-11-29,3.55
2006-11-30,3.55
2006-12-01,3.55
2006-12-04,3.55
2006-12-05,3.565
2006-12-06,3.58
2006-12-07,3.58
2006-12-08,3.605
2006-12-11,3.6
2006-12-12,3.6
2006-12-13,3.6
2006-12-14,3.6
2006-12-15,3.6
2006-12-18,3.6
2006-12-19,3.6
2006-12-20,3.61
2006-12-21,3.61
2006-12-22,3.615
2006-12-25,3.61
2006-12-26,3.61
2006-12-27,3.61
2006-12-28,3.605
2006-12-29,3.605
2006-12-30,3.605
2006-12-31,3.605
2007-01-04,3.61
2007-01-05,3.6
2007-01-08,3.605
2007-01-09,3.6
2007-01-10,3.6
2007-01-11,3.6
2007-01-12,3.6
2007-01-15,3.6
2007-01-16,3.6
2007-01-17,3.6
2007-01-18,3.6
2007-01-19,3.6
2007-01-22,3.6
2007-01-23,3.6
2007-01-24,3.6
2007-01-25,3.6
2007-01-26,3.6
2007-01-29,3.6
2007-01-30,3.6
2007-01-31,3.6
2007-02-01,3.6
2007-02-02,3.6
2007-02-05,3.6
2007-02-06,3.6
2007-02-07,3.62
2007-02-08,3.62
2007-02-09,3.65
2007-02-12,3.64
2007-02-13,3.63
2007-02-14,3.63
2007-02-15,3.635
2007-02-16,3.64
2007-02-17,3.65
2007-02-25,3.65
2007-02-26,3.63
2007-02-27,3.65
2007-02-28,3.65
2007-03-01,3.65
2007-03-02,3.65
2007-03-05,3.65
2007-03-06,3.66
2007-03-07,3.67
2007-03-08,3.7
2007-03-09,3.72
2007-03-12,3.72
2007-03-13,3.72
2007-03-14,3.72
2007-03-15,3.72
2007-03-16,3.73
2007-03-19,3.75
2007-03-20,3.78
2007-03-21,3.78
2007-03-22,3.78
2007-03-23,3.79
2007-03-26,3.78
2007-03-27,3.78
2007-03-28,3.78
2007-03-29,3.78
2007-03-30,3.78
2007-04-02,3.78
2007-04-03,3.78
2007-04-04,3.78
2007-04-05,3.78
2007-04-06,3.78
2007-04-09,3.78
2007-04-10,3.79
2007-04-11,3.8
2007-04-12,3.8
2007-04-13,3.8
2007-04-16,3.8
2007-04-17,3.81
2007-04-18,3.82
2007-04-19,3.84
2007-04-20,3.85
2007-04-23,3.85
2007-04-24,3.88
2007-04-25,3.9
2007-04-26,3.9
2007-04-27,3.9
2007-04-28,3.89
2007-04-29,3.89
2007-04-30,3.895
2007-05-08,3.895
2007-05-09,3.9
2007-05-10,3.92
2007-05-11,3.96
2007-05-14,4.05
2007-05-15,4.2
2007-05-16,4.23
2007-05-17,4.27
2007-05-18,4.27
2007-05-21,4.33
2007-05-22,4.35
2007-05-23,4.35
2007-05-24,4.35
2007-05-25,4.35
2007-05-28,4.35
2007-05-29,4.35
2007-05-30,4.35
2007-05-31,4.33
2007-06-01,4.33
2007-06-04,4.33
2007-06-05,4.33
2007-06-06,4.38
2007-06-07,4.38
2007-06-08,4.4
2007-06-11,4.405
2007-06-12,4.44
2007-06-13,4.49
2007-06-14,4.55
2007-06-15,4.6
2007-06-18,4.6
2007-06-19,4.62
2007-06-20,4.62
2007-06-21,4.66
2007-06-22,4.66
2007-06-25,4.66
2007-06-26,4.66
2007-06-27,4.66
2007-06-28,4.69
2007-06-29,4.7
2007-07-02,4.7
2007-07-03,4.7
2007-07-04,4.7
2007-07-05,4.7
2007-07-06,4.7
2007-07-09,4.73
2007-07-10,4.76
2007-07-11,4.76
2007-07-12,4.793
2007-07-13,4.7931
2007-07-16,4.793
2007-07-17,4.792
2007-07-18,4.8
2007-07-19,4.8
2007-07-20,4.8
2007-07-23,4.8298
2007-07-24,4.84
2007-07-25,4.78
2007-07-26,4.73
2007-07-27,4.715
2007-07-30,4.715
2007-07-31,4.715
2007-08-01,4.712
2007-08-02,4.7131
2007-08-03,4.72
2007-08-06,4.72
2007-08-07,4.72
2007-08-08,4.715
2007-08-09,4.71
2007-08-10,4.71
2007-08-13,4.71
2007-08-14,4.71
2007-08-15,4.658
2007-08-16,4.67
2007-08-17,4.67
2007-08-20,4.67
2007-08-21,4.67
2007-08-22,4.67
2007-08-23,4.67
2007-08-24,4.665
2007-08-27,4.645
2007-08-28,4.65
2007-08-29,4.65
2007-08-30,4.65
2007-08-31,4.65
2007-09-03,4.65
2007-09-04,4.65
2007-09-05,4.65
2007-09-06,4.65
2007-09-07,4.6538
2007-09-10,4.65
2007-09-11,4.65
2007-09-12,4.67
2007-09-13,4.7
2007-09-14,4.9
2007-09-17,4.93
2007-09-18,4.93
2007-09-19,4.93
2007-09-20,4.93
2007-09-21,4.9
2007-09-24,4.895
2007-09-25,4.89
2007-09-26,4.87
2007-09-27,4.85
2007-09-28,4.801
2007-09-29,4.81
2007-09-30,4.815
2007-10-08,4.8
2007-10-09,4.81
2007-10-10,4.8
2007-10-11,4.8
2007-10-12,4.8
2007-10-15,4.8
2007-10-16,4.8
2007-10-17,4.81
2007-10-18,4.81
2007-10-19,4.81
2007-10-22,4.8
2007-10-23,4.8
2007-10-24,4.8
2007-10-25,4.8
2007-10-26,4.8
2007-10-29,4.8
2007-10-30,4.79
2007-10-31,4.78
2007-11-01,4.79
2007-11-02,4.8
2007-11-05,4.8
2007-11-06,4.81
2007-11-07,4.81
2007-11-08,4.805
2007-11-09,4.81
2007-11-12,4.82
2007-11-13,4.82
2007-11-14,4.83
2007-11-15,4.85
2007-11-16,4.85
2007-11-19,4.85
2007-11-20,4.84
2007-11-21,4.83
2007-11-22,4.84
2007-11-23,4.835
2007-11-26,4.82
2007-11-27,4.81
2007-11-28,4.81
2007-11-29,4.81
2007-11-30,4.81
2007-12-03,4.805
2007-12-04,4.81
2007-12-05,4.81
2007-12-06,4.805
2007-12-07,4.81
2007-12-10,4.81
2007-12-11,4.8
2007-12-12,4.8
2007-12-13,4.81
2007-12-14,4.8
2007-12-17,4.8
2007-12-18,4.8
2007-12-19,4.8
2007-12-20,4.8
2007-12-21,4.81
2007-12-24,4.81
2007-12-25,4.805
2007-12-26,4.815
2007-12-27,4.81
2007-12-28,4.82
2007-12-29,4.82
2008-01-02,4.82
2008-01-03,4.82
2008-01-04,4.82
2008-01-07,4.82
2008-01-08,4.8108
2008-01-09,4.81
2008-01-10,4.82
2008-01-11,4.8
2008-01-14,4.81
2008-01-15,4.81
2008-01-16,4.79
2008-01-17,4.8
2008-01-18,4.8
2008-01-21,4.785
2008-01-22,4.785
2008-01-23,4.75
2008-01-24,4.72
2008-01-25,4.69
2008-01-28,4.67
2008-01-29,4.65
2008-01-30,4.62
2008-01-31,4.6
2008-02-01,4.54
2008-02-02,4.52
2008-02-03,4.5
2008-02-04,4.49
2008-02-05,4.485
2008-02-13,4.488
2008-02-14,4.486
2008-02-15,4.486
2008-02-18,4.49
2008-02-19,4.5
2008-02-20,4.5
2008-02-21,4.5
2008-02-22,4.49
2008-02-25,4.48
2008-02-26,4.45
2008-02-27,4.43
2008-02-28,4.41
2008-02-29,4.395
2008-03-03,4.395
2008-03-04,4.395
2008-03-05,4.395
2008-03-06,4.395
2008-03-07,4.395
2008-03-10,4.395
2008-03-11,4.4
2008-03-12,4.4
2008-03-13,4.4
2008-03-14,4.4
2008-03-17,4.4
2008-03-18,4.4
2008-03-19,4.39
2008-03-20,4.38
2008-03-21,4.3752
2008-03-24,4.3652
2008-03-25,4.3502
2008-03-26,4.3352
2008-03-27,4.3302
2008-03-28,4.325
2008-03-31,4.31
2008-04-01,4.31
2008-04-02,4.31
2008-04-03,4.31
2008-04-07,4.31
2008-04-08,4.31
2008-04-09,4.31
2008-04-10,4.31
2008-04-11,4.31
2008-04-14,4.31
2008-04-15,4.31
2008-04-16,4.31
2008-04-17,4.3
2008-04-18,4.3
2008-04-21,4.3
2008-04-22,4.3
2008-04-23,4.3
2008-04-24,4.345
2008-04-25,4.37
2008-04-28,4.355
2008-04-29,4.3551
2008-04-30,4.3601
2008-05-04,4.35
2008-05-05,4.34
2008-05-06,4.34
2008-05-07,4.5
2008-05-08,4.5038
2008-05-09,4.5038
2008-05-12,4.51
2008-05-13,4.51
2008-05-14,4.51
2008-05-15,4.51
2008-05-16,4.515
2008-05-19,4.5119
2008-05-20,4.5419
2008-05-21,4.5619
2008-05-22,4.5719
2008-05-23,4.576
2008-05-26,4.5826
2008-05-27,4.58
2008-05-28,4.5756
2008-05-29,4.5806
2008-05-30,4.5807
2008-06-02,4.5808
2008-06-03,4.5808
2008-06-04,4.5808
2008-06-05,4.5808
2008-06-06,4.5809
2008-06-10,4.596
2008-06-11,4.7
2008-06-12,4.6963
2008-06-13,4.7014
2008-06-16,4.7014
2008-06-17,4.7014
2008-06-18,4.6965
2008-06-19,4.7015
2008-06-20,4.7415
2008-06-23,4.7696
2008-06-24,4.7598
2008-06-25,4.7696
2008-06-26,4.8266
2008-06-27,4.9064
2008-06-30,4.9168
2008-07-01,4.9318
2008-07-02,4.958
2008-07-03,4.9505
2008-07-04,4.9505
2008-07-07,4.9409
2008-07-08,4.9361
2008-07-09,4.9261
2008-07-10,4.9161
2008-07-11,4.9061
2008-07-14,4.8861
2008-07-15,4.875
2008-07-16,4.855
2008-07-17,4.8408
2008-07-18,4.8406
2008-07-21,4.8506
2008-07-22,4.8655
2008-07-23,4.8708
2008-07-24,4.8759
2008-07-25,4.8759
2008-07-28,4.876
2008-07-29,4.871
2008-07-30,4.8807
2008-07-31,4.8609
2008-08-01,4.89
2008-08-04,4.9
2008-08-05,4.91
2008-08-06,4.9208
2008-08-07,4.9008
2008-08-08,4.9208
2008-08-11,5.0
2008-08-12,4.99
2008-08-13,4.9755
2008-08-14,4.9659
2008-08-15,4.9606
2008-08-18,4.9706
2008-08-19,4.9506
2008-08-20,4.9106
2008-08-21,4.9056
2008-08-22,4.8856
2008-08-25,4.8808
2008-08-26,4.8708
2008-08-27,4.8708
2008-08-28,4.8508
2008-08-29,4.8227
2008-09-01,4.7927
2008-09-02,4.72
2008-09-03,4.71
2008-09-04,4.705
2008-09-05,4.695
2008-09-08,4.682
2008-09-09,4.6822
2008-09-10,4.622
2008-09-11,4.572
2008-09-12,4.52
2008-09-16,4.39
2008-09-17,4.29
2008-09-18,4.306
2008-09-19,4.2566
2008-09-22,4.2816
2008-09-23,4.3061
2008-09-24,4.3059
2008-09-25,4.2859
2008-09-26,4.273
2008-09-27,4.2724
2008-09-28,4.2832
2008-10-06,4.2851
2008-10-07,4.05
2008-10-08,3.85
2008-10-09,3.6
2008-10-10,3.5184
2008-10-13,3.58
2008-10-14,3.68
2008-10-15,3.7043
2008-10-16,3.7055
2008-10-17,3.85
2008-10-20,3.9
2008-10-21,3.8068
2008-10-22,3.91
2008-10-23,3.925
2008-10-24,3.9219
2008-10-27,3.9097
2008-10-28,3.874
2008-10-29,3.8601
